access-control.required	จำเป็น	จำเป็น	จำเป็น	จำเป็น	จำเป็น
access-control.name	โค้ด	โค้ด	โค้ด	โค้ด	โค้ด
access-control.name-description	โค้ดที่มีอยู่แล้วไม่สามารถใช้ได้	โค้ดที่มีอยู่แล้วไม่สามารถใช้ได้	โค้ดที่มีอยู่แล้วไม่สามารถใช้ได้	โค้ดที่มีอยู่แล้วไม่สามารถใช้ได้	โค้ดที่มีอยู่แล้วไม่สามารถใช้ได้
access-control.performer	วิธีกำหนดผู้ปฏิบัติ	วิธีกำหนดผู้ปฏิบัติ	วิธีกำหนดผู้ปฏิบัติ	วิธีกำหนดผู้ปฏิบัติ	วิธีกำหนดผู้ปฏิบัติ
access-control.tag-name	ชื่อโค้ด	ชื่อโค้ด	ชื่อโค้ด	ชื่อโค้ด	ชื่อโค้ด
access-control.submit	บันทึก	บันทึก	บันทึก	บันทึก	บันทึก
access-control.cancel	ยกเลิก	ยกเลิก	ยกเลิก	ยกเลิก	ยกเลิก
access-control.title	สิทธิ์ตำแหน่ง	สิทธิ์ตำแหน่ง	สิทธิ์ตำแหน่ง	สิทธิ์ตำแหน่ง	สิทธิ์ตำแหน่ง
access-control.sub-title	สามารถกำหนดสิทธิ์การเข้าถึง การแก้ไขข้อมูลพนักงานและออกประกาศตามตำแหน่ง หน้าที่และแผนก  กรุณาตั้งค่า ใคร(ผู้ปฏิบัติ)  เป็นผู้สามารถดู แก้ไขข้อมูลพนักงานคนไหนได้ 	สามารถกำหนดสิทธิ์การเข้าถึง การแก้ไขข้อมูลพนักงานและออกประกาศตามตำแหน่ง หน้าที่และแผนก  กรุณาตั้งค่า ใคร(ผู้ปฏิบัติ)  เป็นผู้สามารถดู แก้ไขข้อมูลพนักงานคนไหนได้	สามารถกำหนดสิทธิ์การเข้าถึง การแก้ไขข้อมูลพนักงานและออกประกาศตามตำแหน่ง หน้าที่และแผนก  กรุณาตั้งค่า ใคร(ผู้ปฏิบัติ)  เป็นผู้สามารถดู แก้ไขข้อมูลพนักงานคนไหนได้	สามารถกำหนดสิทธิ์การเข้าถึง การแก้ไขข้อมูลพนักงานและออกประกาศตามตำแหน่ง หน้าที่และแผนก  กรุณาตั้งค่า ใคร(ผู้ปฏิบัติ)  เป็นผู้สามารถดู แก้ไขข้อมูลพนักงานคนไหนได้	สามารถกำหนดสิทธิ์การเข้าถึง การแก้ไขข้อมูลพนักงานและออกประกาศตามตำแหน่ง หน้าที่และแผนก  กรุณาตั้งค่า ใคร(ผู้ปฏิบัติ)  เป็นผู้สามารถดู แก้ไขข้อมูลพนักงานคนไหนได้
access-control.add-btn	เพิ่มใหม่	เพิ่มใหม่	เพิ่มใหม่	เพิ่มใหม่	เพิ่มใหม่
